name	type	checksum	instrument	read_length	library
02202018-F07-NA19159.fastq.gz	fastq	0764d8f15a7ee87b11a26adbc03f093c	HiSeq 2500	50	single
02202018-F08-NA19159.fastq.gz	fastq	226dc9123734c627abc11b53891215cc	HiSeq 2500	50	single
02202018-F09-NA19159.fastq.gz	fastq	3aa9efdac7965ee3f5f4edc23f9c250f	HiSeq 2500	50	single
02202018-F10-NA19204.fastq.gz	fastq	610a91fd474af56e0164e0a0fe1b472c	HiSeq 2500	50	single
02202018-F11-NA19159.fastq.gz	fastq	6c12d37df64cdc29b409bae72bb89c26	HiSeq 2500	50	single
02202018-F12-NA19159.fastq.gz	fastq	d6d27b3335d9cff003d9573817c21a44	HiSeq 2500	50	single
02202018-G01-NA19159.fastq.gz	fastq	a7f2c86461fa0a7374c3f489e3bf9557	HiSeq 2500	50	single
02202018-G02-NA19159.fastq.gz	fastq	c56acbdfd2bc245a839b183eaa374ab4	HiSeq 2500	50	single
02202018-G03-NA19159.fastq.gz	fastq	c3ff096fa9da1eb86d9eecddf63928e6	HiSeq 2500	50	single
02202018-G04-NA19159.fastq.gz	fastq	9ce9040d6263744332fbe9405cfbe11b	HiSeq 2500	50	single
02202018-G05-NA19204.fastq.gz	fastq	4b57ad0ae64b9732ccdc9adb56321e4f	HiSeq 2500	50	single
02202018-G06-NA18913.fastq.gz	fastq	2b4b88b4795d6a2ed5f227f54da8938a	HiSeq 2500	50	single
02202018-G07-NA19203.fastq.gz	fastq	fb1aa2747405c22c8352271dba0cd812	HiSeq 2500	50	single
02202018-G08-NA18913.fastq.gz	fastq	39dadc734d52850be9b0958fd6d358a0	HiSeq 2500	50	single
02202018-G09-NA18913.fastq.gz	fastq	4b9a0b39bf9c6996deb2331f5eb167ed	HiSeq 2500	50	single
02202018-G10-NA18913.fastq.gz	fastq	6804cbf02b855d4dc7573a8bb6f7c541	HiSeq 2500	50	single
02202018-G11-NA19159.fastq.gz	fastq	71ddd08f949b1f7806cc6ac12bca8918	HiSeq 2500	50	single
02202018-G12-NA18913.fastq.gz	fastq	e6e3ff470c06c59a0af05595eab269e0	HiSeq 2500	50	single
02202018-H01-NA19159.fastq.gz	fastq	5a393c07a9f30ba9fb31262039596c87	HiSeq 2500	50	single
02202018-H02-NA19159.fastq.gz	fastq	449d5f363b783293a149477c86373e25	HiSeq 2500	50	single
02202018-H03-NA19159.fastq.gz	fastq	d0cdd043147c9b3f0d7ab623a682c831	HiSeq 2500	50	single
02202018-H04-NA19159.fastq.gz	fastq	499230c0dcf5a8417c4c517180b71818	HiSeq 2500	50	single
02202018-H05-NA19159.fastq.gz	fastq	3c4dc03e6728100aeb6ead1217eed442	HiSeq 2500	50	single
02202018-H06-NA19159.fastq.gz	fastq	cc35cd36146709b93d9e37e02e7c2690	HiSeq 2500	50	single
02202018-H07-NA19159.fastq.gz	fastq	65146f55f16f5bf6c96a90491aa40e1a	HiSeq 2500	50	single
02202018-H08-NA19159.fastq.gz	fastq	fc2d884b541ac707a863cc2b091c3557	HiSeq 2500	50	single
02202018-H09-NA19204.fastq.gz	fastq	8f3f5a9d6b82ee0d58d7bae377a5cbb3	HiSeq 2500	50	single
02202018-H10-NA19204.fastq.gz	fastq	719ab5f366e17a3332d75e839b97b65b	HiSeq 2500	50	single
02202018-H11-NA19159.fastq.gz	fastq	8acc2e2d74b08266685b41b547d0e9c2	HiSeq 2500	50	single
02202018-H12-NA19203.fastq.gz	fastq	570c95c36a66aafb7dc4c4266d7f6fb7	HiSeq 2500	50	single
02212018-A01-NA19143.fastq.gz	fastq	166f2f8338af7b09515f1cdf597a2f33	HiSeq 2500	50	single
02212018-A02-NA18913.fastq.gz	fastq	9b9ae469b6a36cb00c9f7875c1b03b2b	HiSeq 2500	50	single
02212018-A03-NA18913.fastq.gz	fastq	9f5507f2a2793345c65d321c5e7a78a8	HiSeq 2500	50	single
