experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03232017	D09	1	0.941851668	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D10	1	1.418917705	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D11	1	1.546969386	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D12	1	1.302543372	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E01	1	0.192113608	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E02	1	1.499746529	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E03	1	1.55984408	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E04	0	0.104640815	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E05	1	1.754401189	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E06	1	1.548078572	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E07	1	1.181306981	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E08	1	1.522080742	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E09	1	1.590552327	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E10	0	0.201508006	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E11	1	1.536850298	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	E12	1	1.67524278	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F01	0	0.111455211	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F02	1	1.698177343	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F03	1	1.109265735	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F04	1	1.746427628	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F05	1	1.697406791	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F06	1	1.144004032	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F07	1	1.116886509	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F08	1	1.3883391	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F09	0	0.046686934	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F10	1	1.755553537	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F11	1	1.265604217	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	F12	1	1.721584716	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G01	1	1.766847641	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G02	1	1.271155543	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G03	1	1.465917927	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G04	1	0.387184322	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G05	1	0.550142498	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G06	1	1.310540096	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G07	1	1.022676611	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G08	1	1.594259935	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G09	1	1.440286492	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G10	1	1.236010465	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G11	1	1.514685612	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	G12	1	1.478763173	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H01	1	0.372453747	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H02	1	2.00642706	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H03	1	1.86655151	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H04	1	1.613379392	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H05	1	1.942499891	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H06	1	1.514293485	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H07	1	1.580573855	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H08	1	1.413227128	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H09	1	1.616903274	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H10	0	0.101105314	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H11	0	0.183033867	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	H12	1	1.600713844	1	18520	18502	18505	18522	5000	25000	NA	3
03302017	A01	1	0.378796701	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A02	1	1.64870246	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A03	1	1.849390956	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A04	1	0.888974333	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A05	1	0.412734262	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A06	1	1.455062866	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A07	1	1.574765956	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A08	1	1.552390927	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A09	1	1.580766915	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A10	2	1.777161395	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A11	1	1.817033088	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	A12	1	1.591100609	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B01	1	0.173916856	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B02	1	1.492103325	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B03	1	1.83959633	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B04	1	1.948645356	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B05	1	1.457575828	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B06	1	0.344694555	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B07	1	1.665285579	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B08	1	1.959558679	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B09	1	0.660861649	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B10	1	0.844341825	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B11	1	1.75731457	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	B12	1	1.603095095	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C01	1	0.825409949	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C02	1	1.754914542	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C03	0	0	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C04	1	1.829526396	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C05	1	1.582154659	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C06	1	0.843428337	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C07	1	1.459435515	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C08	1	1.781596546	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C09	1	1.683360879	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C10	1	2.104654064	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C11	1	1.57797713	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	C12	1	2.142275654	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D01	1	1.79779373	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D02	1	0.565736315	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D03	1	2.017910586	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D04	1	1.77076136	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D05	0	0.47284085	1	18502	18520	18522	19098	5000	25000	NA	2
03302017	D06	1	1.746377359	1	18502	18520	18522	19098	5000	25000	NA	2
